"name","hour","max_stock_price"
"BYND","09","74.54"
"DDOG","09","186.21"
"FB","09","335.37"
"NFLX","09","675.2"
"OKTA","09","226.46"
"PINS","09","41.71"
"SHOP","09","1629.94"
"SNAP","09","49.4"
"SQ","09","217.75"
"TTD","09","110.87"
"BYND","10","73.28"
"DDOG","10","184.1"
"FB","10","335.81"
"NFLX","10","675.38"
"OKTA","10","225.35"
"PINS","10","41.64"
"SHOP","10","1625.99"
"SNAP","10","49.07"
"SQ","10","215.46"
"TTD","10","110.28"
"BYND","11","71.04"
"DDOG","11","178.54"
"FB","11","329.8"
"NFLX","11","661.99"
"OKTA","11","217.08"
"PINS","11","40.43"
"SHOP","11","1561.98"
"SNAP","11","47.33"
"SQ","11","210.63"
"TTD","11","105.83"
"BYND","12","71.02"
"DDOG","12","177.21"
"FB","12","328.29"
"NFLX","12","658.24"
"OKTA","12","216.18"
"PINS","12","40.09"
"SHOP","12","1544.77"
"SNAP","12","46.98"
"SQ","12","209.11"
"TTD","12","103.85"
"BYND","13","71.24"
"DDOG","13","177.73"
"FB","13","328.02"
"NFLX","13","651.35"
"OKTA","13","216.71"
"PINS","13","40.12"
"SHOP","13","1533.19"
"SNAP","13","47.28"
"SQ","13","208.41"
"TTD","13","104.69"
"BYND","14","71.4"
"DDOG","14","179.39"
"FB","14","328.18"
"NFLX","14","650.59"
"OKTA","14","216.37"
"PINS","14","40.23"
"SHOP","14","1536.21"
"SNAP","14","47.13"
"SQ","14","209.03"
"TTD","14","105.12"
"BYND","15","71.28"
"DDOG","15","179.81"
"FB","15","327.3"
"NFLX","15","645.95"
"OKTA","15","215.88"
"PINS","15","40.42"
"SHOP","15","1529.8"
"SNAP","15","47.68"
"SQ","15","210.63"
"TTD","15","104.68"
